County;Subcounty;Ward
;;Kola
;;Mbiuni
;;Makutano/Mwala
;;Masii
;;Muthetheni
;;Wamunyu
;;Kibauni
;;Tulimani
;;Mbooni
;;Kithungo/Kitundu
;;Kiteta/Kisau
;;Waia-Kako
;;Kalawa
;;Kasikeu
;;Mukaa
;;Kiima Kiu/Kalanzoni
;;Ukia
;;Kee
;;Kilungu
;;Ilima
;;South Kanyamkago
;;Muvau/Kikumini
;;Mavindini
;;Kitise/Kithuki
;;Kathonzweni
;;Nzaui/Kilili/Kalamba
;;Mbitini
;;Makindu
;;Nguumo
;;Kikumbulyu North
;;Kikumbulyu South
;;Nguu/Masumba
;;Emali/Mulala
;;Masongaleni
;;Mtito Andei
;;North Kanyamkago
;;Thange
;;Ivingoni/Nzambani
;;Takaba South
;;Takaba
;;Laghsure
;;Dandu
;;Gither
;;Banissa
;;Derkhale
;;Guba
;;Malkamari
;;Kiliwaheri
;;Ashabito
;;Guticha
;;Marothile
;;Rhamu
;;Rhamu Dimtu
;;Wargadud
;;Kotulo
;;Elwak South
;;Elwak North
;;Kianjai
;;Shambir Fatuma
;;Arabia
;;Bulla Mpya
;;Khalalio
;;Neboi
;;Township
;;Libehia
;;Fino
;;Lafey
;;Warankara
;;Alango Gof
;;Butiye
;;Sololo
;;Heillu/Manyatta
;;Nkomo
;;Central Kanyamkago
;;Golbo
;;Moyale Township
;;Uran
;;Obbu
;;Dukana
;;Maikona
;;Turbi
;;Logologo
;;Ragana-Oruba
;;North Horr
;;Illeret
;;Sagante/Jaldesa
;;Karare
;;Marsabit Central
;;Loiyangalani
;;Kargi/South Horr
;;Korr/Ngurunit
;;Laisamis
;;Maua
;;Kiegu/Antubochiu
;;Athiru Gaiti
;;Akachiu
;;Kanuni
;;Akirang'ondu
;;Athiru Ruujine
;;Igembe East
;;Njia
;;Kangeta
;;Antuambui
;;Ntunene
;;Antubetwe Kiongo
;;Naathu
;;Amwathi
;;Athwana
;;Mbeu
;;Thangatha
;;Mikinduri
;;Kiguchwa
;;Muthara
;;Karama
;;Municipality
;;Ntima East
;;Ntima West
;;Nyaki West
;;Nyaki East
;;Timau
;;Kisima
;;Kiirua/Naari
;;Ruiri/Rwarera
;;Mwanganthia
;;Abothuguchi Central
;;Abothuguchi West
;;Kiagu
;;Kibirichia
;;Mitunguu
;;Igoji East
;;Igoji West
;;Abogeta East
;;Abogeta West
;;Nkuene
;;North Kamagambo
;;Central Kamagambo
;;East Kamagambo
;;South Kamagambo
;;North Sakwa
;;South Sakwa
;;West Sakwa
;;Central Sakwa
;;God Jope
;;Suna Central
;;Kakrao
;;Kwa
;;Wiga
;;Wasweta Ii
;;Kachieng
;;Kanyasa
;;North Kadem
;;Macalder/Kanyaruanda
;;Kaler
;;Got Kachola
;;Muhuru
;;Bukira East
;;Bukira Central/Ikerege
;;Isibania
;;Mokerero
;;Masaba
;;Tagare
;;Nyamosense'komosoko
;;Gokeharaka/Getabwega
;;Ntimaru West
;;Ntimaru East
;;Nyabasi East
;;Nyabasi West
;;Port Reitz
;;Kipevu
;;Airport
;;Changamwe
;;Chaani
;;Jomvu Kuu
;;Miritini
;;Mikindani
;;Junda
;;Bamburi
;;Mwakirunge
;;Mtopanga
;;Magogoni
;;Shanzu
;;Frere Town
;;Ziwa La Ng'ombe
;;Mkomani
;;Kongowea
;;Kadzandani
;;Mtongwe
;;Shika Adabu
;;Bofu
;;Likoni
;;Tibwani
;;Mji Wa Kale/Makadara
;;Tudor
;;Tononoka
;;Shimanzi/Ganjoni
;;Majengo
;;Kanyenya-Ini
;;Muguru
;;Rwathia
;;Gitugi
;;Kiru
;;Kamacharia
;;Wangu
;;Mugoiri
;;North Maragoli
;;Mbiri
;;Township
;;Murarandia
;;Gaturi
;;Kahumbu
;;Muthithi
;;Kigumo
;;Kangari
;;Kinyona
;;Kimorori/Wempa
;;Makuyu
;;Kambiti
;;Kamahuha
;;Ichagaki
;;Nginda
;;Ng'araria
;;Muruka
;;Kagundu-Ini
;;Gaichanjiru
;;Ithiru
;;Ruchu
;;Ithanga
;;Kakuzi/Mitumbiri
;;Mugumo-Ini
;;Kihumbu-Ini
;;Gatanga
;;Kariara
;;Kitisuru
;;Parklands/Highridge
;;Karura
;;Kangemi
;;Moutain View
