|location|date|damage_livelihood|damage_general|people_affected|people_dead|houses_affected|livelihood_affected|infrastructures_affected|infrastructures_mentioned
5173|Zambia|||||||||Clinic
5174|Zambia|||||||||Clinic
5175|Zambia|||||||||school
5176|Zambia|||||||||School
5177|Zambia|||||||||school
5178|Zambia|||||||||Houses
5179|Zambia|||||||||Houses
5180|Zambia|||||||||School
5181|Zambia|||||||||School
5182|Zambia|||||||||School
5183|Zambia|||||||||clinic
5184|Zambia|||||||||Clinic
5185|Zambia|||||||||Clinic
5186|Chavuma|||||||||road
5187|Chavuma|||||||||Markets
5188|Chavuma|||||||||Markets
5189|Chavuma|||||||||road
5190|Chavuma|||||||10 cattle||
5191|Chavuma|||||||30 cattle||
5192|Chavuma|||||||7 goat||
5193|Zambezi|||||||||market
5194|Lusaka|||||||||Market
5195|Lusaka|||||||||Road
5196|Chavuma|||||||||markets
5197|Chavuma|||||||||markets
5198|Senanga|2005: standard, 2005, 10.6||||||||Markets
5199|Senanga|2005: standard, 2005, 10.6||||||||Markets
5200|Chavuma|||||||||Market
5201|Chavuma|||||||||market
5202|Zambia|2009, 2009||||||||market
5203|Zambia|2009||||||||market
5204|Kalabo||||28846 |||||
5205|Kalabo||||14360 |||||
5206|Chavuma||||24106 |||||
5207|Chavuma||||18469 |||||
5208|Zambezi||||13719 |||||
5209|Chavuma||||499359 |||||
5210|Zambia|on 2009||||||||market
5211|Zambia|on 2009||||||||market
5212|Kazungula|2005/06||||||||roads
5213|Kazungula|2005/06||||||||roads
5214|Kazungula|2005/06||||||||bridges
5215|Kazungula|2005/06||||||||bridges
5216|Kazungula|2005/06||||||||roads
5217|Kazungula|2005/06||||||||roads
5218|Kazungula|2005/06||||||||bridges
5219|Kazungula|2005/06||||||||bridges
5220|Kazungula|2005/06||||||||markets
5221|Kazungula|2005/06||||||||markets
5222|Sesheke|2005/06||||||||markets
5223|Kafue|2005/06||||||||markets
5224|Livingstone|2005/06||||||||markets
5225|Luangwa|2005/06||||||||markets
5226|Kazungula|2005/06||||||||markets
5227|Sesheke|2005/06||||||||markets
5228|Kafue|2005/06||||||||markets
5229|Livingstone|2005/06||||||||markets
5230|Luangwa|2005/06||||||||markets
